rank,dest_id,state,destination,county,lodging_max,mie,daily_max,seasonal
1,360,UT,Park City,Summit,483,92,575,True
2,153,MA,Nantucket,Nantucket,471,92,563,True
3,152,MA,Martha's Vineyard,Dukes,462,92,554,True
4,91,FL,Key West,Monroe,436,86,522,True
5,409,WY,Jackson / Pinedale,Teton / Sublette,420,92,512,True
6,50,CO,Aspen,Pitkin,407,92,499,True
7,66,CO,Vail,Eagle,397,92,489,True
8,65,CO,Telluride,San Miguel,350,92,442,True
9,148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",349,92,441,True
10,266,NY,New York City,Bronx / Kings / New York / Queens / Richmond,342,92,434,True
11,171,ME,Bar Harbor / Rockport,Hancock / Knox,304,92,396,True
12,96,FL,Naples,Collier,314,80,394,True
13,215,MT,Big Sky / West Yellowstone/Gardiner,Gallatin/Park,310,80,390,True
14,64,CO,Steamboat Springs,Routt,288,92,380,True
15,122,ID,Sun Valley / Ketchum,Blaine / Elmore,300,80,380,True
16,326,SC,Charleston,Charleston / Berkeley / Dorchester,288,92,380,True
17,170,MD,Ocean City,Worcester,295,80,375,True
18,63,CO,Silverthorne / Breckenridge,Summit,282,92,374,True
19,26,CA,Monterey,Monterey,279,92,371,True
20,75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",276,92,368,True
21,11,AZ,Sedona,City Limits of Sedona,274,92,366,True
22,40,CA,Santa Monica ,City limits of Santa Monica,273,92,365,False
23,35,CA,San Francisco,San Francisco,272,92,364,True
24,38,CA,Santa Barbara,Santa Barbara,262,92,354,True
25,323,RI,Jamestown / Middletown / Newport,Newport ,268,80,348,True
26,83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,260,86,346,True
27,389,WA,Seattle,King,248,92,340,True
28,150,MA,Falmouth,City limits of Falmouth,253,86,339,True
29,27,CA,Napa,Napa,246,92,338,True
30,340,TN,Nashville,Davidson,248,86,334,True
31,42,CA,South Lake Tahoe,El Dorado,247,86,333,True
32,109,FL,Vero Beach,Indian River,259,74,333,True
33,99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,244,86,330,True
34,224,NC,Kill Devil Hills,Dare,254,74,328,True
35,387,WA,Port Angeles / Port Townsend,Clallam / Jefferson,235,92,327,True
36,123,IL,Chicago,Cook / Lake,234,92,326,True
37,95,FL,Miami,Miami-Dade,232,92,324,True
38,265,NY,Lake Placid,Essex,238,86,324,True
39,34,CA,San Diego,San Diego,237,86,323,True
40,306,OR,Seaside,Clatsop,236,86,322,True
