dest_id,state,destination,county,mie,seasonal,n_seasons,lodging_min,lodging_max,daily_min,daily_max
0,CONUS,Standard CONUS,All counties not specifically listed,68,False,1,110,110,178,178
1,AL,Birmingham,Jefferson,80,False,1,126,126,206,206
2,AL,Gulf Shores,Baldwin,74,True,4,134,216,208,290
3,AL,Huntsville,Madison,74,True,3,134,141,208,215
6,AR,Hot Springs,Garland,68,False,1,114,114,182,182
8,AZ,Kayenta,Navajo,74,False,1,145,145,219,219
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,80,True,3,110,144,190,224
10,AZ,Phoenix / Scottsdale,Maricopa,86,True,5,113,229,199,315
11,AZ,Sedona,City Limits of Sedona,92,True,5,164,274,256,366
12,AZ,Tucson,Pima,80,True,3,123,171,203,251
14,CA,Antioch / Brentwood / Concord,Contra Costa,86,False,1,147,147,233,233
16,CA,Barstow / Ontario / Victorville,San Bernardino,86,False,1,124,124,210,210
20,CA,Death Valley,Inyo / NAWS China Lake,80,False,1,142,142,222,222
21,CA,Fresno,Fresno,86,False,1,129,129,215,215
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,86,False,1,191,191,277,277
23,CA,Mammoth Lakes,Mono,86,True,3,139,195,225,281
24,CA,Mill Valley / San Rafael / Novato,Marin,92,True,2,153,175,245,267
26,CA,Monterey,Monterey,92,True,4,191,279,283,371
27,CA,Napa,Napa,92,True,3,172,246,264,338
28,CA,Oakhurst,Madera ,80,False,1,135,135,215,215
29,CA,Oakland,Alameda,92,False,1,145,145,237,237
30,CA,Palm Springs,Riverside,86,True,2,141,186,227,272
31,CA,Point Arena / Gualala,Mendocino,86,False,1,129,129,215,215
33,CA,Sacramento,Sacramento,86,False,1,150,150,236,236
34,CA,San Diego,San Diego,86,True,3,199,237,285,323
35,CA,San Francisco,San Francisco,92,True,3,259,272,351,364
36,CA,San Luis Obispo,San Luis Obispo,86,True,3,163,203,249,289
37,CA,San Mateo / Foster City / Belmont,San Mateo,86,False,1,183,183,269,269
38,CA,Santa Barbara,Santa Barbara,92,True,3,205,262,297,354
39,CA,Santa Cruz,Santa Cruz,86,True,3,139,176,225,262
40,CA,Santa Monica ,City limits of Santa Monica,92,False,1,273,273,365,365
41,CA,Santa Rosa,Sonoma,86,False,1,157,157,243,243
42,CA,South Lake Tahoe,El Dorado,86,True,5,141,247,227,333
43,CA,Stockton ,San Joaquin,74,False,1,132,132,206,206
44,CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,92,False,1,192,192,284,284
45,CA,Tahoe City,Placer,86,False,1,131,131,217,217
46,CA,Truckee,Nevada ,86,True,5,142,173,228,259
47,CA,Visalia,Tulare,80,False,1,131,131,211,211
48,CA,West Sacramento / Davis,Yolo,80,False,1,142,142,222,222
49,CA,Yosemite National Park,Mariposa,86,True,3,181,203,267,289
50,CO,Aspen,Pitkin,92,True,3,207,407,299,499
52,CO,Boulder / Broomfield,Boulder / Broomfield,80,True,3,125,173,205,253
53,CO,Colorado Springs,El Paso,86,True,3,123,168,209,254
54,CO,Cortez,Montezuma,74,True,3,110,133,184,207
55,CO,Crested Butte / Gunnison,Gunnison,86,False,1,154,154,240,240
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,92,True,3,165,215,257,307
57,CO,Durango,La Plata,80,True,2,121,184,201,264
58,CO,Fort Collins / Loveland,Larimer,80,True,3,110,140,190,220
61,CO,Montrose,Montrose,74,True,3,136,185,210,259
63,CO,Silverthorne / Breckenridge,Summit,92,True,3,162,282,254,374
64,CO,Steamboat Springs,Routt,92,True,4,123,288,215,380
65,CO,Telluride,San Miguel,92,True,3,184,350,276,442
66,CO,Vail,Eagle,92,True,3,201,397,293,489
67,CT,Bridgeport / Danbury,Fairfield,86,False,1,146,146,232,232
69,CT,Hartford,Hartford,80,False,1,138,138,218,218
71,CT,New Haven,New Haven,80,False,1,130,130,210,210
72,CT,New London / Groton,New London,86,False,1,124,124,210,210
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",92,True,5,183,276,275,368
77,DE,Lewes,Sussex,74,True,3,124,221,198,295
78,DE,Wilmington,New Castle,74,False,1,127,127,201,201
80,FL,Bradenton,Manatee,80,True,3,145,225,225,305
81,FL,Cocoa Beach,Brevard,74,True,3,166,208,240,282
82,FL,Daytona Beach,Volusia,80,True,4,116,157,196,237
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,86,True,5,110,260,196,346
84,FL,Fort Lauderdale,Broward,86,True,3,143,224,229,310
85,FL,Fort Myers,Lee,80,True,3,139,216,219,296
89,FL,Gulf Breeze,Santa Rosa,74,True,4,124,214,198,288
91,FL,Key West,Monroe,86,True,4,258,436,344,522
95,FL,Miami,Miami-Dade,92,True,5,145,232,237,324
96,FL,Naples,Collier,80,True,4,164,314,244,394
98,FL,Orlando,Orange,80,True,3,140,169,220,249
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,86,True,3,143,244,229,330
100,FL,Panama City,Bay,80,True,4,110,194,190,274
101,FL,Pensacola ,Escambia,74,True,4,120,190,194,264
102,FL,Punta Gorda,Charlotte,74,True,3,124,192,198,266
103,FL,Sarasota,Sarasota,86,True,3,131,205,217,291
104,FL,Sebring,Highlands,74,True,3,126,219,200,293
105,FL,St. Augustine,St. Johns,80,True,3,151,170,231,250
106,FL,Stuart,Martin,80,True,3,129,214,209,294
107,FL,Tallahassee,Leon,80,True,3,113,138,193,218
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,80,True,3,148,200,228,280
109,FL,Vero Beach,Indian River,74,True,3,181,259,255,333
110,GA,Athens,Clarke,74,False,1,136,136,210,210
111,GA,Atlanta,Fulton / Dekalb,86,True,3,182,197,268,283
115,GA,Jekyll Island / Brunswick,Glynn,86,True,3,172,223,258,309
116,GA,Savannah,Chatham,80,True,3,147,176,227,256
118,IA,Des Moines,Polk,80,False,1,121,121,201,201
120,ID,Coeur d'Alene,Kootenai,74,True,3,142,217,216,291
122,ID,Sun Valley / Ketchum,Blaine / Elmore,80,True,4,181,300,261,380
123,IL,Chicago,Cook / Lake,92,True,5,142,234,234,326
124,IL,Oak Brook Terrace,DuPage,80,False,1,115,115,195,195
127,IN,Bloomington ,Monroe,74,True,3,110,139,184,213
130,IN,Indianapolis / Carmel,Marion / Hamilton,80,False,1,133,133,213,213
131,IN,Lafayette / West Lafayette,Tippecanoe,74,True,2,123,143,197,217
137,KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,80,False,1,135,135,215,215
139,KY,Boone,Boone,68,False,1,116,116,184,184
140,KY,Lexington,Fayette,80,False,1,118,118,198,198
141,KY,Louisville,Jefferson,80,True,5,120,164,200,244
144,LA,New Orleans,Orleans / Jefferson Parishes,80,True,4,133,179,213,259
147,MA,Andover,Essex,80,False,1,137,137,217,217
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",92,True,4,209,349,301,441
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,86,True,3,144,178,230,264
