dest_id,state,destination,county,season_begin,season_end,lodging,mie,daily_cap,seasonal
0,CONUS,Standard CONUS,All counties not specifically listed,,,110,68,178,False
1,AL,Birmingham,Jefferson,,,126,80,206,False
2,AL,Gulf Shores,Baldwin,October 1,February 28,134,74,208,True
2,AL,Gulf Shores,Baldwin,March 1,May 31,163,74,237,True
2,AL,Gulf Shores,Baldwin,June 1,July 31,216,74,290,True
2,AL,Gulf Shores,Baldwin,August 1,September 30,134,74,208,True
3,AL,Huntsville,Madison,October 1,March 31,141,74,215,True
3,AL,Huntsville,Madison,April 1,July 31,134,74,208,True
3,AL,Huntsville,Madison,August 1,September 30,141,74,215,True
460,AL,Mobile,Mobile,,,114,74,188,False
6,AR,Hot Springs,Garland,,,114,68,182,False
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,144,80,224,True
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,110,80,190,True
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,144,80,224,True
8,AZ,Kayenta,Navajo,,,145,74,219,False
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,January 31,160,86,246,True
10,AZ,Phoenix / Scottsdale,Maricopa,February 1,March 31,229,86,315,True
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,161,86,247,True
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,113,86,199,True
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,160,86,246,True
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,213,92,305,True
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,164,92,256,True
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,274,92,366,True
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,183,92,275,True
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,213,92,305,True
12,AZ,Tucson,Pima,October 1,December 31,123,80,203,True
12,AZ,Tucson,Pima,January 1,March 31,171,80,251,True
12,AZ,Tucson,Pima,April 1,September 30,123,80,203,True
